step,mean_reward,mean_improvement,mean_tokens,mean_prompt_leaks,datums,groups,elapsed_sec
1,-1.0042678556922926,0.024157321443077074,57.0,0.0,4,2,13.544080257415771
2,-1.0678758264080392,0.023821241735919606,57.5,0.0,4,2,31.232741117477417
3,-0.30161770476448574,0.033283822952355144,60.5,0.0,4,2,54.6917040348053
4,-1.4022302189207858,0.01822769781079214,53.75,0.0,4,2,68.9262022972107
5,-1.6607655580820948,0.021192344419179054,63.0,0.0,4,2,86.06035017967224
6,-2.7611347393977903,0.006288652606022098,56.5,0.0,4,2,104.09501910209656
7,-3.0721767774453927,0.00452823222554607,58.75,0.0,4,2,121.09175324440002
8,-2.0425636100959648,0.013624363899040353,56.75,0.0,4,2,139.06470131874084
