step,mean_reward,mean_improvement,mean_tokens,mean_prompt_leaks,datums,groups,elapsed_sec
1,-2.860328491905011,0.007696715080949889,60.5,0.0,4,2,25.006025075912476
2,-1.8602910489365774,0.013347089510634227,53.25,0.0,4,2,35.047383069992065
3,-0.11070921835530034,0.033692907816446994,58.0,0.0,4,2,48.88667011260986
4,2.559261931285574,0.05964261931285574,56.75,0.0,4,2,57.427587032318115
5,-0.05711966867090146,0.033778803313290987,57.25,0.0,4,2,65.81276202201843
6,-3.29872761891196,0.0034627238108804028,60.75,0.0,4,2,75.79027009010315
